Fakultas,Jurusan,Nilai UTBK,Daya Tampung 2024,Peminat 2023,Jenis Portofolio 
FBS,P. BAHASA JEPANG,"588,52",124,350,Tidak Ada
FMIPA,MATEMATIKA,"601,73",81,271,Tidak Ada
FT,PEND. TATA BUSANA,"622,33",123,481,Tidak Ada
FV,MANAJEMEN INFORMATIKA,"588,63",100,326,Tidak Ada
FMIPA,PEND. SAINS,"595,04",95,278,Tidak Ada
FEB,PEND. AKUNTANSI,"587,86",90,431,Tidak Ada
FISIPOL,ILMU KOMUNIKASI,"655,08",111,1.571,Tidak Ada
FT,TEKNIK MESIN,"628,75",95,577,Tidak Ada
FT,TATA BUSANA,"586,60",88,257,Tidak Ada
FBS,P. BAHASA JERMAN,"564,90",45,86,Tidak Ada
FEB,BISNIS DIGITAL,"651,77",126,1.181,Tidak Ada
FIK,PEND. JASMANI KESEHATAN DAN REKREASI","630,09",142,640,Pendidikan Jasmani dan Olahraga
FBS,P. SENI RUPA,"566,40",58,121,"Seni Rupa, Desain, dan Kriya"
FIK,PEND. KEPELATIHAN OLAHRAGA,"612,46",142,495,Pendidikan Jasmani dan Olahraga
FBS,SASTRA INDONESIA,"611,26",81,377,Tidak Ada
FH,ILMU HUKUM,"647,68",174,1.518,Tidak Ada
FBS,P. BAHASA INGGRIS,"631,63",108,736,Tidak Ada
FISIPOL,P. GEOGRAFI,"593,58",90,310,Tidak Ada
FIP,MANAJEMEN PENDIDIKAN,"617,62",118,513,Tidak Ada
FV,TRANSPORTASI,"576,18",44,203,Tidak Ada
FEB,MANAJEMEN,"655,42",111,1.95,Tidak Ada
FIP,PENDI. LUAR BIASA,"582,36",61,250,Tidak Ada
FMIPA,PEND. BIOLOGI,"631,50",61,250,Tidak Ada
FBS,DESAIN GRAFIS,"565,76",53,124,"Seni Rupa, Desain, dan Kriya"
FISIPOL,ILMU ADMINISTRASI NEGARA,"640,68",144,999,Tidak Ada
FMIPA,FISIKA,"568,86",53,186,Tidak Ada
FT,TEKNIK ELEKTRO,"629,37",95,462,Tidak Ada
FT,PEND. TATA RIAS,"599,78",63,418,Tidak Ada
FEB,AKUNTANSI,"640,83",126,1.313,Tidak Ada
FMIPA,BIOLOGI,"626,35",95,344,Tidak Ada
FT,TEKNIK SIPIL,"637,72",98,976,Tidak Ada
FBS,SENI RUPA MURNI,"558,79",39,76,"Seni Rupa, Desain, dan Kriya"
FMIPA,PEND. KIMIA,"587,02",63,154,Tidak Ada
FEB,EKONOMI,"634,17",111,699,Tidak Ada
FBS,P. SENDRATASIK,"562,93",58,125,Sendratasik
FBS,P. BAHASA DAERAH (JAWA),"592,67",61,329,Tidak Ada
FV,TEKNIK SIPIL (D4),"586,82",80,345,Tidak Ada
FMIPA,SAINS DATA,"556,70",108,805,Tidak Ada
FV,PEND. TEKNIK BANGUNAN,"584,58",53,106,Tidak Ada
FISIPOL,PEND. PANCASILA DAN KEWARGANEGARAAN,"598,50",81,533,Tidak Ada
FT,GIZI,"650,82",98,1.38,Tidak Ada
FV,ADMINISTRASI NEGARA,"594,58",113,660,Tidak Ada
FBS,SASTRA INGGRIS,"636,82",79,755,Tidak Ada
FIP,PGSD,"651,59",180,1.784,Tidak Ada
FV,TEKNIK MESIN (D4),"576,39",39,256,Tidak Ada
FV,TEKNIK LISTRIK (D4),"571,64",44,191,Tidak Ada
FIK,ILMU KEOLAHRAGAAN,"580,05",90,211,Pendidikan Jasmani dan Olahraga
FISIPOL,SOSIOLOGI,"638,05",123,561,Tidak Ada
FIK,KEPELATIHAN OLAHRAGA,"558,42",42,47,Pendidikan Jasmani dan Olahraga
FT,PEND. TEKNIK MESIN,"573,55",53,96,Tidak Ada
FISIPOL,PEND. SEJARAH,"612,45",90,339,Tidak Ada
FBS,PEND. BAHASA MANDARIN,"574,08",75,134,Tidak Ada
FEB,EKONOMI ISLAM,"599,36",108,607,Tidak Ada
FBS,P. BAHASA DAN SASTRA INDONESIA,"633,00",108,741,Tidak Ada
FT,PEND. TEKNIK ELEKTRO,"571,00",53,120,Tidak Ada
FEB,PEND. ADM. PERKANTORAN,"633,10",126,623,Tidak Ada
FEB,P. EKONOMI,"602,03",90,293,Tidak Ada
FIP,PG-PAUD,"606,44",135,445,Tidak Ada
FIP,PSIKOLOGI PENDIDIKAN DAN BIMBINGAN,"638,04",108,928,Tidak Ada
FPSI,PSIKOLOGI,"659,35",172,2.408,Tidak Ada
FT,TEKNIK INFORMATIKA,"638,65",98,1.549,Tidak Ada
FISIPOL,PEND. ILMU PENGETAHUAN SOSIAL,"607,42",81,310,Tidak Ada
FT,TATA BOGA,"598,47",120,554,Tidak Ada
FIP,KURIKULUM DAN TEKNOLOGI PENDIDIKAN,"590,72",82,315,Tidak Ada
FBS,SENI MUSIK,"561,02",58,85,Musik
FIP,PENDIDIKAN LUAR SEKOLAH,"574,78",75,263,Tidak Ada
FMIPA,PEND. MATEMATIKA,"630,21",113,444,Tidak Ada
FT,SISTEM INFORMASI,"636,25",98,1.105,Tidak Ada
FIK,MANAJEMEN OLAHRAGA,"555,48",41,120,Pendidikan Jasmani dan Olahraga
FMIPA,KIMIA,"592,61",63,197,Tidak Ada
FBS,SASTRA JERMAN,"575,32",45,140,Tidak Ada
FMIPA,PEND. FISIKA,"582,39",63,149,Tidak Ada
FBS,DESAIN KOMUNIKASI VISUAL,"618,95",74,618,"Seni Rupa, Desain, dan Kriya"
FT,PEND. TATA BOGA,"624,78",112,612,Tidak Ada
FT,PENDIDIKAN TEKNOLOGI INFORMASI,"599,75",88,192,Tidak Ada
